delay_days,horizon_days,q,cost_bps,days,sharpe_gross,sharpe_net,maxdd_net,mean_turnover,mean_cost,avg_active
0,3,0.1,1.0,2036,-0.08428612992702038,-0.10222648286315622,-0.8224455707930711,0.2980271774721676,2.9802717747216767e-05,1.2205304518664046
0,3,0.1,2.0,2036,-0.08428612992702038,-0.12016599886731183,-0.8241131362345218,0.2980271774721676,5.9605435494433534e-05,1.2205304518664046
0,3,0.1,5.0,2036,-0.08428612992702038,-0.17397810780241313,-0.8370987142405195,0.2980271774721676,0.00014901358873608381,1.2205304518664046
0,3,0.1,10.0,2036,-0.08428612992702038,-0.2636349947014798,-0.8673402648165323,0.2980271774721676,0.00029802717747216763,1.2205304518664046
0,3,0.2,1.0,2036,-0.08428612992702038,-0.10222648286315622,-0.8224455707930711,0.2980271774721676,2.9802717747216767e-05,1.2205304518664046
0,3,0.2,2.0,2036,-0.08428612992702038,-0.12016599886731183,-0.8241131362345218,0.2980271774721676,5.9605435494433534e-05,1.2205304518664046
0,3,0.2,5.0,2036,-0.08428612992702038,-0.17397810780241313,-0.8370987142405195,0.2980271774721676,0.00014901358873608381,1.2205304518664046
0,3,0.2,10.0,2036,-0.08428612992702038,-0.2636349947014798,-0.8673402648165323,0.2980271774721676,0.00029802717747216763,1.2205304518664046
0,3,0.3,1.0,2036,-0.18215769146519276,-0.2013711245868154,-0.8441160242770196,0.2983557863223875,2.9835578632238754e-05,1.2426326129666012
0,3,0.3,2.0,2036,-0.18215769146519276,-0.2205826379190248,-0.8503967859247613,0.2983557863223875,5.967115726447751e-05,1.2426326129666012
0,3,0.3,5.0,2036,-0.18215769146519276,-0.2782039198527075,-0.8677641078567739,0.2983557863223875,0.00014917789316119375,1.2426326129666012
0,3,0.3,10.0,2036,-0.18215769146519276,-0.3741847764839577,-0.8923542337759135,0.2983557863223875,0.0002983557863223875,1.2426326129666012
0,5,0.1,1.0,2036,0.1343903166272543,0.11619405890831838,-0.5606975566496422,0.2534948311348115,2.5349483113481153e-05,1.8904715127701375
0,5,0.1,2.0,2036,0.1343903166272543,0.09799798844839375,-0.5675734320839403,0.2534948311348115,5.0698966226962306e-05,1.8904715127701375
0,5,0.1,5.0,2036,0.1343903166272543,0.04341250794739619,-0.6101997749994421,0.2534948311348115,0.00012674741556740576,1.8904715127701375
0,5,0.1,10.0,2036,0.1343903166272543,-0.047544551625796634,-0.6721310512230217,0.2534948311348115,0.0002534948311348115,1.8904715127701375
0,5,0.2,1.0,2036,0.1343903166272543,0.11619405890831838,-0.5606975566496422,0.2534948311348115,2.5349483113481153e-05,1.8904715127701375
0,5,0.2,2.0,2036,0.1343903166272543,0.09799798844839375,-0.5675734320839403,0.2534948311348115,5.0698966226962306e-05,1.8904715127701375
0,5,0.2,5.0,2036,0.1343903166272543,0.04341250794739619,-0.6101997749994421,0.2534948311348115,0.00012674741556740576,1.8904715127701375
0,5,0.2,10.0,2036,0.1343903166272543,-0.047544551625796634,-0.6721310512230217,0.2534948311348115,0.0002534948311348115,1.8904715127701375
0,5,0.3,1.0,2036,0.04762127085517142,0.02806671644987035,-0.629593151293192,0.2526768172888016,2.526768172888016e-05,1.9223968565815324
0,5,0.3,2.0,2036,0.04762127085517142,0.008513551225182782,-0.6421263656878977,0.2526768172888016,5.053536345776032e-05,1.9223968565815324
0,5,0.3,5.0,2036,0.04762127085517142,-0.050135610781434505,-0.6772439134723178,0.2526768172888016,0.00012633840864440077,1.9223968565815324
0,5,0.3,10.0,2036,0.04762127085517142,-0.14783779426902316,-0.7282990501249919,0.2526768172888016,0.00025267681728880154,1.9223968565815324
0,10,0.1,1.0,2036,0.012507097113556763,-0.0034309322893644792,-0.599350201679821,0.17919717670454408,1.7919717670454408e-05,3.2799607072691552
0,10,0.1,2.0,2036,0.012507097113556763,-0.01936804503216389,-0.6076466706547767,0.17919717670454408,3.5839435340908817e-05,3.2799607072691552
0,10,0.1,5.0,2036,0.012507097113556763,-0.06717261152792563,-0.6315223847473793,0.17919717670454408,8.959858835227206e-05,3.2799607072691552
0,10,0.1,10.0,2036,0.012507097113556763,-0.14681669447757323,-0.6681393147039745,0.17919717670454408,0.00017919717670454412,3.2799607072691552
0,10,0.2,1.0,2036,0.012507097113556763,-0.0034309322893644792,-0.599350201679821,0.17919717670454408,1.7919717670454408e-05,3.2799607072691552
0,10,0.2,2.0,2036,0.012507097113556763,-0.01936804503216389,-0.6076466706547767,0.17919717670454408,3.5839435340908817e-05,3.2799607072691552
0,10,0.2,5.0,2036,0.012507097113556763,-0.06717261152792563,-0.6315223847473793,0.17919717670454408,8.959858835227206e-05,3.2799607072691552
0,10,0.2,10.0,2036,0.012507097113556763,-0.14681669447757323,-0.6681393147039745,0.17919717670454408,0.00017919717670454412,3.2799607072691552
0,10,0.3,1.0,2036,-0.0033397022027526007,-0.019645575621553557,-0.5956098998260075,0.18034197166073393,1.8034197166073396e-05,3.3325147347740667
0,10,0.3,2.0,2036,-0.0033397022027526007,-0.035950353815489985,-0.6040065805770278,0.18034197166073393,3.606839433214679e-05,3.3325147347740667
0,10,0.3,5.0,2036,-0.0033397022027526007,-0.08485675076259866,-0.6281679325330833,0.18034197166073393,9.017098583036698e-05,3.3325147347740667
0,10,0.3,10.0,2036,-0.0033397022027526007,-0.16633276613275588,-0.6652144842073658,0.18034197166073393,0.00018034197166073396,3.3325147347740667
1,3,0.1,1.0,2036,0.015350364404106472,-0.01231262056943736,-0.6228507866195498,0.2980271774721676,2.9802717747216767e-05,1.2205304518664046
1,3,0.1,2.0,2036,0.015350364404106472,-0.039976793652617915,-0.6403360928081308,0.2980271774721676,5.9605435494433534e-05,1.2205304518664046
1,3,0.1,5.0,2036,0.015350364404106472,-0.122971241648301,-0.6889878114244921,0.2980271774721676,0.00014901358873608381,1.2205304518664046
1,3,0.1,10.0,2036,0.015350364404106472,-0.2612705496329295,-0.7559155864727356,0.2980271774721676,0.00029802717747216763,1.2205304518664046
1,3,0.2,1.0,2036,0.015350364404106472,-0.01231262056943736,-0.6228507866195498,0.2980271774721676,2.9802717747216767e-05,1.2205304518664046
1,3,0.2,2.0,2036,0.015350364404106472,-0.039976793652617915,-0.6403360928081308,0.2980271774721676,5.9605435494433534e-05,1.2205304518664046
1,3,0.2,5.0,2036,0.015350364404106472,-0.122971241648301,-0.6889878114244921,0.2980271774721676,0.00014901358873608381,1.2205304518664046
1,3,0.2,10.0,2036,0.015350364404106472,-0.2612705496329295,-0.7559155864727356,0.2980271774721676,0.00029802717747216763,1.2205304518664046
1,3,0.3,1.0,2036,0.029135714461478845,0.0009978176134652114,-0.6085197932749669,0.2983557863223875,2.9835578632238754e-05,1.2426326129666012
1,3,0.3,2.0,2036,0.029135714461478845,-0.027141682476525725,-0.6264499316909526,0.2983557863223875,5.967115726447751e-05,1.2426326129666012
1,3,0.3,5.0,2036,0.029135714461478845,-0.11156432908966187,-0.6766964189145368,0.2983557863223875,0.00014917789316119375,1.2426326129666012
1,3,0.3,10.0,2036,0.029135714461478845,-0.2522497153537353,-0.7463483604182599,0.2983557863223875,0.0002983557863223875,1.2426326129666012
1,5,0.1,1.0,2036,0.020295083713760157,-0.0024571817417966446,-0.5926904832171962,0.2534948311348115,2.5349483113481153e-05,1.8904715127701375
1,5,0.1,2.0,2036,0.020295083713760157,-0.025208907604538047,-0.6092437668207935,0.2534948311348115,5.0698966226962306e-05,1.8904715127701375
1,5,0.1,5.0,2036,0.020295083713760157,-0.09345770524551575,-0.6549825372000624,0.2534948311348115,0.00012674741556740576,1.8904715127701375
1,5,0.1,10.0,2036,0.020295083713760157,-0.207165595576781,-0.7196482285676337,0.2534948311348115,0.0002534948311348115,1.8904715127701375
1,5,0.2,1.0,2036,0.020295083713760157,-0.0024571817417966446,-0.5926904832171962,0.2534948311348115,2.5349483113481153e-05,1.8904715127701375
1,5,0.2,2.0,2036,0.020295083713760157,-0.025208907604538047,-0.6092437668207935,0.2534948311348115,5.0698966226962306e-05,1.8904715127701375
1,5,0.2,5.0,2036,0.020295083713760157,-0.09345770524551575,-0.6549825372000624,0.2534948311348115,0.00012674741556740576,1.8904715127701375
1,5,0.2,10.0,2036,0.020295083713760157,-0.207165595576781,-0.7196482285676337,0.2534948311348115,0.0002534948311348115,1.8904715127701375
1,5,0.3,1.0,2036,0.020291768556312612,-0.0027116460258659603,-0.5901488698438849,0.2526768172888016,2.526768172888016e-05,1.9223968565815324
1,5,0.3,2.0,2036,0.020291768556312612,-0.02571407354188954,-0.6067362341593423,0.2526768172888016,5.053536345776032e-05,1.9223968565815324
1,5,0.3,5.0,2036,0.020291768556312612,-0.09471217626419105,-0.6525850817781282,0.2526768172888016,0.00012633840864440077,1.9223968565815324
1,5,0.3,10.0,2036,0.020291768556312612,-0.20965889163036316,-0.7174514199611628,0.2526768172888016,0.00025267681728880154,1.9223968565815324
1,10,0.1,1.0,2036,0.2608764417453144,0.24321468153527645,-0.4925538876531369,0.17919717670454408,1.7919717670454408e-05,3.2799607072691552
1,10,0.1,2.0,2036,0.2608764417453144,0.22555155161031842,-0.4995860828195985,0.17919717670454408,3.5839435340908817e-05,3.2799607072691552
1,10,0.1,5.0,2036,0.2608764417453144,0.17255567685683135,-0.5201058778890046,0.17919717670454408,8.959858835227206e-05,3.2799607072691552
1,10,0.1,10.0,2036,0.2608764417453144,0.08421800747169009,-0.5524606942324818,0.17919717670454408,0.00017919717670454412,3.2799607072691552
1,10,0.2,1.0,2036,0.2608764417453144,0.24321468153527645,-0.4925538876531369,0.17919717670454408,1.7919717670454408e-05,3.2799607072691552
1,10,0.2,2.0,2036,0.2608764417453144,0.22555155161031842,-0.4995860828195985,0.17919717670454408,3.5839435340908817e-05,3.2799607072691552
1,10,0.2,5.0,2036,0.2608764417453144,0.17255567685683135,-0.5201058778890046,0.17919717670454408,8.959858835227206e-05,3.2799607072691552
1,10,0.2,10.0,2036,0.2608764417453144,0.08421800747169009,-0.5524606942324818,0.17919717670454408,0.00017919717670454412,3.2799607072691552
1,10,0.3,1.0,2036,0.27874618004351903,0.2606742527490176,-0.4925538876531369,0.18034197166073393,1.8034197166073396e-05,3.3325147347740667
1,10,0.3,2.0,2036,0.27874618004351903,0.242600848523847,-0.4995860828195985,0.18034197166073393,3.606839433214679e-05,3.3325147347740667
1,10,0.3,5.0,2036,0.27874618004351903,0.1883736376894064,-0.5201058778890046,0.18034197166073393,9.017098583036698e-05,3.3325147347740667
1,10,0.3,10.0,2036,0.27874618004351903,0.09798281212129552,-0.5524606942324818,0.18034197166073393,0.00018034197166073396,3.3325147347740667
